AOI21_X1	g2460	18.81	17.5	19.57	17.5	19.57	16.1	18.81	16.1
INV_X1	g2462	19.38	18.9	19.76	18.9	19.76	17.5	19.38	17.5
NAND3_X1	g2463	19.95	18.9	20.71	18.9	20.71	17.5	19.95	17.5
HA_X1	g2470	16.72	18.9	18.62	18.9	18.62	17.5	16.72	17.5
XOR2_X1	g2487	10.45	17.5	11.59	17.5	11.59	16.1	10.45	16.1
XOR2_X1	g2493	10.64	13.3	11.78	13.3	11.78	11.9	10.64	11.9
XOR2_X1	g2497	10.45	14.7	11.59	14.7	11.59	13.3	10.45	13.3
NAND3_X1	g2500	18.62	18.9	19.38	18.9	19.38	17.5	18.62	17.5
NAND2_X1	g2505	10.45	20.3	11.02	20.3	11.02	18.9	10.45	18.9
AND2_X1	g2524	15.96	18.9	16.72	18.9	16.72	17.5	15.96	17.5
NAND2_X1	g2525	11.59	18.9	12.16	18.9	12.16	17.5	11.59	17.5
NAND2_X1	g2528	12.16	17.5	12.73	17.5	12.73	16.1	12.16	16.1
NAND2_X1	g2530	11.59	17.5	12.16	17.5	12.16	16.1	11.59	16.1
XOR2_X1	g2574	12.73	11.9	13.87	11.9	13.87	10.5	12.73	10.5
XOR2_X1	g2578	12.73	14.7	13.87	14.7	13.87	13.3	12.73	13.3
XOR2_X1	g2579	13.87	11.9	15.01	11.9	15.01	10.5	13.87	10.5
XOR2_X1	g2581	11.97	13.3	13.11	13.3	13.11	11.9	11.97	11.9
XNOR2_X1	g2613	10.45	11.9	11.59	11.9	11.59	10.5	10.45	10.5
NAND2_X1	g2630	16.53	13.3	17.1	13.3	17.1	11.9	16.53	11.9
NAND2_X1	g2634	17.48	16.1	18.05	16.1	18.05	14.7	17.48	14.7
NAND2_X1	g2635	18.05	11.9	18.62	11.9	18.62	10.5	18.05	10.5
INV_X1	g2639	16.15	20.3	16.53	20.3	16.53	18.9	16.15	18.9
FA_X1	g2640	15.77	17.5	18.81	17.5	18.81	16.1	15.77	16.1
FA_X1	g2641	15.01	11.9	18.05	11.9	18.05	10.5	15.01	10.5
FA_X1	g2644	17.1	13.3	20.14	13.3	20.14	11.9	17.1	11.9
FA_X1	g2646	13.49	13.3	16.53	13.3	16.53	11.9	13.49	11.9
FA_X1	g2650	10.45	16.1	13.49	16.1	13.49	14.7	10.45	14.7
FA_X1	g2651	12.73	17.5	15.77	17.5	15.77	16.1	12.73	16.1
XOR2_X1	g2660	11.59	14.7	12.73	14.7	12.73	13.3	11.59	13.3
XOR2_X1	g2664	11.59	11.9	12.73	11.9	12.73	10.5	11.59	10.5
FILLCELL_X16	FILL_1	18.62	11.9	21.66	11.9	21.66	10.5	18.62	10.5
FILLCELL_X1	FILL_12	10.45	13.3	10.64	13.3	10.64	11.9	10.45	11.9
FILLCELL_X1	FILL_13	11.78	13.3	11.97	13.3	11.97	11.9	11.78	11.9
FILLCELL_X1	FILL_14	13.11	13.3	13.3	13.3	13.3	11.9	13.11	11.9
FILLCELL_X1	FILL_15	13.3	13.3	13.49	13.3	13.49	11.9	13.3	11.9
FILLCELL_X32	FILL_16	13.87	14.7	19.95	14.7	19.95	13.3	13.87	13.3
FILLCELL_X8	FILL_17	19.95	14.7	21.47	14.7	21.47	13.3	19.95	13.3
FILLCELL_X16	FILL_30	13.49	16.1	16.53	16.1	16.53	14.7	13.49	14.7
FILLCELL_X4	FILL_31	16.53	16.1	17.29	16.1	17.29	14.7	16.53	14.7
FILLCELL_X1	FILL_32	17.29	16.1	17.48	16.1	17.48	14.7	17.29	14.7
FILLCELL_X16	FILL_33	18.05	16.1	21.09	16.1	21.09	14.7	18.05	14.7
FILLCELL_X8	FILL_42	19.57	17.5	21.09	17.5	21.09	16.1	19.57	16.1
FILLCELL_X4	FILL_55	10.45	18.9	11.21	18.9	11.21	17.5	10.45	17.5
FILLCELL_X1	FILL_56	11.21	18.9	11.4	18.9	11.4	17.5	11.21	17.5
FILLCELL_X1	FILL_57	11.4	18.9	11.59	18.9	11.59	17.5	11.4	17.5
FILLCELL_X16	FILL_58	12.16	18.9	15.2	18.9	15.2	17.5	12.16	17.5
FILLCELL_X4	FILL_59	15.2	18.9	15.96	18.9	15.96	17.5	15.2	17.5
FILLCELL_X1	FILL_60	19.76	18.9	19.95	18.9	19.95	17.5	19.76	17.5
FILLCELL_X16	FILL_68	11.02	20.3	14.06	20.3	14.06	18.9	11.02	18.9
FILLCELL_X8	FILL_69	14.06	20.3	15.58	20.3	15.58	18.9	14.06	18.9
FILLCELL_X1	FILL_70	15.58	20.3	15.77	20.3	15.77	18.9	15.58	18.9
FILLCELL_X1	FILL_71	15.77	20.3	15.96	20.3	15.96	18.9	15.77	18.9
FILLCELL_X1	FILL_72	15.96	20.3	16.15	20.3	16.15	18.9	15.96	18.9
FILLCELL_X16	FILL_73	16.53	20.3	19.57	20.3	19.57	18.9	16.53	18.9
FILLCELL_X4	FILL_74	19.57	20.3	20.33	20.3	20.33	18.9	19.57	18.9
